library name,text,rodata,data,bss,code,flash,ram
lib\libhal.a,15550,5377,17,725,20927,20944,742
lib\libkernel.a,21092,1042,14,76474,22134,22148,76488
lib\libdriver.a,73118,11212,1315,6187,84330,85645,7502
lib\libosi_lib.a,8150,189,0,74201,8339,8339,74201
..\..\components\newlib\armca5\libc.a,46334,2923,1534,47,49257,50791,1581
..\..\components\ql-kernel\libs\liboql_api_audio.a,12626,3805,0,187,16431,16431,187
..\..\components\ql-kernel\libs\liboql_api_power.a,3278,1133,42,39,4411,4453,81
..\..\components\ql-kernel\libs\liboql_gnss.a,1702,705,0,488,2407,2407,488
..\..\components\ql-kernel\libs\libq_modem.a,508,230,0,0,738,738,0
..\..\components\ql-kernel\libs\libql_api_adc.a,492,81,2,0,573,575,2
..\..\components\ql-kernel\libs\libql_api_ble.a,6402,1885,0,16,8287,8287,16
..\..\components\ql-kernel\libs\libql_api_ble_gatt.a,15214,5020,180,75,20234,20414,255
..\..\components\ql-kernel\libs\libql_api_bt.a,2418,1062,0,0,3480,3480,0
..\..\components\ql-kernel\libs\libql_api_bt_ble.a,2624,1199,0,156,3823,3823,156
..\..\components\ql-kernel\libs\libql_api_bt_hfp.a,3230,1317,60,26,4547,4607,86
..\..\components\ql-kernel\libs\libql_api_camera.a,2648,796,0,28,3444,3444,28
..\..\components\ql-kernel\libs\libql_api_common.a,880,114,1,114,994,995,115
..\..\components\ql-kernel\libs\libql_api_datacall.a,11084,3224,16,160,14308,14324,176
..\..\components\ql-kernel\libs\libql_api_dev.a,2086,436,11,4,2522,2533,15
..\..\components\ql-kernel\libs\libql_api_fota.a,1984,989,2,0,2973,2975,2
..\..\components\ql-kernel\libs\libql_api_fs.a,9594,2957,175,20,12551,12726,195
..\..\components\ql-kernel\libs\libql_api_ftp.a,7188,982,8,0,8170,8178,8
..\..\components\ql-kernel\libs\libql_api_gpio.a,3104,725,0,256,3829,3829,256
..\..\components\ql-kernel\libs\libql_api_http.a,2656,327,0,4,2983,2983,4
..\..\components\ql-kernel\libs\libql_api_i2c.a,1488,385,36,0,1873,1909,36
..\..\components\ql-kernel\libs\libql_api_keypad.a,420,131,36,0,551,587,36
..\..\components\ql-kernel\libs\libql_api_lcd.a,3894,690,10,14,4584,4594,24
..\..\components\ql-kernel\libs\libql_api_mqtt.a,3182,388,0,24,3570,3570,24
..\..\components\ql-kernel\libs\libql_api_nw.a,13828,6942,136,536,20770,20906,672
..\..\components\ql-kernel\libs\libql_api_osi.a,6032,2893,12,56,8925,8937,68
..\..\components\ql-kernel\libs\libql_api_pwm.a,1328,629,96,5,1957,2053,101
..\..\components\ql-kernel\libs\libql_api_rtc.a,1398,384,76,28,1782,1858,104
..\..\components\ql-kernel\libs\libql_api_sdmmc.a,1382,242,0,8,1624,1624,8
..\..\components\ql-kernel\libs\libql_api_sim.a,4580,1089,32,12,5669,5701,44
..\..\components\ql-kernel\libs\libql_api_sms.a,7530,1048,0,20,8578,8578,20
..\..\components\ql-kernel\libs\libql_api_spi.a,3172,744,0,96,3916,3916,96
..\..\components\ql-kernel\libs\libql_api_spi6_ext_nor_flash.a,108,32,0,0,140,140,0
..\..\components\ql-kernel\libs\libql_api_spi_flash.a,292,98,0,20,390,390,20
..\..\components\ql-kernel\libs\libql_api_spi_nand_flash.a,1726,467,0,1,2193,2193,1
..\..\components\ql-kernel\libs\libql_api_spi_nor_flash.a,2228,553,8,12,2781,2789,20
..\..\components\ql-kernel\libs\libql_api_uart.a,4350,1553,36,144,5903,5939,180
..\..\components\ql-kernel\libs\libql_api_usb.a,3808,1181,0,40,4989,4989,40
..\..\components\ql-kernel\libs\libql_api_virt_at.a,1508,663,0,8,2171,2171,8
..\..\components\ql-kernel\libs\libql_api_voice_call.a,4546,1194,80,4,5740,5820,84
..\..\components\ql-kernel\libs\libql_api_wifiscan.a,1940,615,28,8,2555,2583,36
..\..\components\ql-kernel\libs\libql_apptcpip.a,1370,0,0,4992,1370,1370,4992
..\..\components\ql-kernel\libs\libql_at.a,52456,13473,716,1656,65929,66645,2372
..\..\components\ql-kernel\libs\libql_bsp.a,4828,1148,41,545,5976,6017,586
..\..\components\ql-kernel\libs\libql_curl.a,99344,26299,32,217,125643,125675,249
